time,temperature
1951-01-01,0.029194579451200076
1951-02-01,-0.5147925375514437
1951-03-01,0.03123299451266348
1951-04-01,0.39889809583252145
1951-05-01,0.18317625783027047
1951-06-01,0.1715772084836562
1951-07-01,0.15726394492952522
1951-08-01,0.4729271459815454
1951-09-01,0.40283649277535183
1951-10-01,0.22072328508903816
1951-11-01,0.8700830573687881
1951-12-01,0.5862134127515333
1952-01-01,0.6795187978141821
1952-02-01,0.7893980433050278
1952-03-01,-0.24970738959234495
1952-04-01,-0.30209335129404735
1952-05-01,-0.34727912141153183
1952-06-01,-0.07171287897995171
1952-07-01,0.28361976722419513
1952-08-01,-0.1949091559602607
1952-09-01,-0.45574354626052127
1952-10-01,-0.4736414033920955
1952-11-01,-0.8182408495865161
1952-12-01,-0.6687455165236433
1953-01-01,-0.17882900136629543
1953-02-01,0.12987119901794086
1953-03-01,0.7177356827137373
1953-04-01,0.5805061344896671
1953-05-01,0.35658007018963467
1953-06-01,0.3548618299070654
1953-07-01,0.030698554063519623
1953-08-01,0.023670045563335407
1953-09-01,-0.091806754458446
1953-10-01,0.3594079233384395
1953-11-01,0.05188861991967997
1953-12-01,0.12622750113632764
1954-01-01,-0.6924499171244634
1954-02-01,-0.3947353809477363
1954-03-01,-0.48715217826423896
1954-04-01,-0.5965048400472597
1954-05-01,-0.507899575115287
1954-06-01,-0.596486249624606
1954-07-01,-0.19854286223625195
1954-08-01,-0.06515452056191862
1954-09-01,0.004726036625811503
1954-10-01,-0.05602713761902933
1954-11-01,0.6744880711917745
1954-12-01,-0.23289152901935495
1955-01-01,1.2588304387721787
1955-02-01,-0.008570515807036827
1955-03-01,-0.503514798773665
1955-04-01,-0.043007476471018435
1955-05-01,0.22482569867605484
1955-06-01,0.11315472915714864
1955-07-01,-0.21326107709967168
1955-08-01,0.4535299947423841
1955-09-01,0.2339663308742388
1955-10-01,0.16150874262450898
1955-11-01,-0.4878208907234125
1955-12-01,-0.2572056741178699
1956-01-01,-0.7007990920502034
1956-02-01,-0.22184752061298285
1956-03-01,0.40003248959624216
1956-04-01,0.0739222903914083
1956-05-01,-0.37292386423200696
1956-06-01,-0.10038889584910748
1956-07-01,0.15201577839837732
1956-08-01,-0.9545896590931324
1956-09-01,-0.6262956994402789
1956-10-01,-0.9832053427180671
1956-11-01,-0.11476356644590169
1956-12-01,0.19887836353933608
1957-01-01,-0.247277813790447
1957-02-01,0.14671358353933872
1957-03-01,-0.1516455108151149
1957-04-01,0.08700585196993416
1957-05-01,0.26450032623984043
1957-06-01,0.28027159639719734
1957-07-01,-0.27753246761676564
1957-08-01,0.8101792639932341
1957-09-01,0.6381068098808687
1957-10-01,0.7425398045912175
1957-11-01,0.5831133825627139
1957-12-01,0.8781187926821303
1958-01-01,1.1892604156774382
1958-02-01,0.8114180821693813
1958-03-01,0.6703613413869789
1958-04-01,0.34154223587097476
1958-05-01,0.46626391058015315
1958-06-01,-0.3336099188501862
1958-07-01,0.5130767871649482
1958-08-01,-0.42842529191693757
1958-09-01,-0.4442846088600714
1958-10-01,-0.10918343298101263
1958-11-01,-0.07701456210906965
1958-12-01,-0.4998338045937203
1959-01-01,-0.6102929715772802
1959-02-01,-0.371737870691049
1959-03-01,0.33066957111714146
1959-04-01,0.2948112367922704
1959-05-01,-0.4008168052556016
1959-06-01,0.3761445077345247
1959-07-01,0.12371806446805067
1959-08-01,0.255693077450303
1959-09-01,0.2260110409080749
1959-10-01,0.027625733637307803
1959-11-01,-0.4980970737063899
1959-12-01,0.010915451893197758
1960-01-01,-0.12831124957756357
1960-02-01,0.548931644851677
1960-03-01,-1.3395769969041567
1960-04-01,-0.6566637514374065
1960-05-01,-0.3128842606041644
1960-06-01,-0.11126065562018717
1960-07-01,-0.4471509672939078
1960-08-01,-0.06729529078972973
1960-09-01,-0.07142116192898129
1960-10-01,0.06876472377626897
1960-11-01,0.0522751425899628
1960-12-01,0.40554824035524417
1961-01-01,0.15461880860385602
1961-02-01,-0.19103678330060303
1961-03-01,1.0627508924775952
1961-04-01,0.5684403582250184
1961-05-01,0.682725332550433
1961-06-01,0.22869614927833481
1961-07-01,0.1338657839516486
1961-08-01,0.013930460967458203
1961-09-01,0.1956078213027581
1961-10-01,-0.13276317109682623
1961-11-01,0.22261746489283496
1961-12-01,-0.8837078073218549
1962-01-01,-0.12116035482540521
1962-02-01,-0.014016347396022866
1962-03-01,-0.008753104245670329
1962-04-01,-0.37003887966790217
1962-05-01,-0.37027211899703616
1962-06-01,-0.5496672351240477
1962-07-01,-0.15885970998465382
1962-08-01,0.003949745583438968
1962-09-01,-0.1843477079761442
1962-10-01,0.1356522734069472
1962-11-01,0.07809277221218736
1962-12-01,0.46969394143258114
1963-01-01,-0.01805353545319166
1963-02-01,0.35898671686805983
1963-03-01,-0.4695573354995872
1963-04-01,-0.21563552135194186
1963-05-01,-0.24563801778373318
1963-06-01,0.21888136704222916
1963-07-01,0.33724762086961846
1963-08-01,0.4435628951022199
1963-09-01,0.47131727982861094
1963-10-01,0.42716089017676495
1963-11-01,0.20075360781641027
1963-12-01,-0.13267798990983692
1964-01-01,-0.04142376522401037
1964-02-01,-0.8904572752456379
1964-03-01,-0.12536334741326982
1964-04-01,-0.14419067754033765
1964-05-01,0.09522379563964023
1964-06-01,0.003952568594625561
1964-07-01,0.0394261150892703
1964-08-01,-0.6431596886645252
1964-09-01,-1.010367840228696
1964-10-01,-1.1693572453201
1964-11-01,-0.39083666330861977
1964-12-01,-0.31985242559045446
1965-01-01,0.1193195736210555
1965-02-01,-0.08231887372318125
