time,t2m
1950-01-01,1.5172347900959267
1950-02-01,2.4150532299824476
1950-03-01,4.682980168317783
1950-04-01,7.585522919673281
1950-05-01,10.914149199189694
1950-06-01,13.168255745443957
1950-07-01,13.975036949730224
1950-08-01,13.435689516090065
1950-09-01,11.950646189462361
1950-10-01,8.966211626584823
1950-11-01,4.885063335571942
1950-12-01,2.938191762485303
1951-01-01,1.546429369547127
1951-02-01,1.9002606924310044
1951-03-01,4.714213162830447
1951-04-01,7.984421015505802
1951-05-01,11.097325457019963
1951-06-01,13.339832953927612
1951-07-01,14.13230089465975
1951-08-01,13.908616662071609
1951-09-01,12.353482682237711
1951-10-01,9.186934911673859
1951-11-01,5.7551463929407305
1951-12-01,3.5244051752368364
1952-01-01,2.2259481673613095
1952-02-01,2.6896587357360318
1952-03-01,4.464505773238102
1952-04-01,7.682327664211755
1952-05-01,10.750046335608431
1952-06-01,13.26812007494766
1952-07-01,14.415920661883945
1952-08-01,13.713707506111348
1952-09-01,11.89773913597719
1952-10-01,8.713293508281765
1952-11-01,4.936905543354214
1952-12-01,2.8556596587131935
1953-01-01,2.0471191659950136
1953-02-01,2.819529934753973
1953-03-01,5.182241455951839
1953-04-01,8.262833798701422
1953-05-01,11.106626405798067
1953-06-01,13.622981904854726
1953-07-01,14.446619215947464
1953-08-01,13.737377551674683
1953-09-01,11.805932381518744
1953-10-01,9.072701431620203
1953-11-01,4.988794163273894
1953-12-01,2.9818871598495207
1954-01-01,1.3546692488705503
1954-02-01,2.4247945538062368
1954-03-01,4.6950892776876
1954-04-01,7.666328958654162
1954-05-01,10.598726830682779
1954-06-01,13.026495655230121
1954-07-01,14.248076353711213
1954-08-01,13.672223031112765
1954-09-01,11.810658418144556
1954-10-01,9.016674294001177
1954-11-01,5.663282234465669
1954-12-01,2.7489956308301657
1955-01-01,2.6134996876427294
1955-02-01,2.4162240379992
1955-03-01,4.191574478913935
1955-04-01,7.623321482183144
1955-05-01,10.823552529358835
1955-06-01,13.139650384387267
1955-07-01,14.034815276611539
1955-08-01,14.125753025855147
1955-09-01,12.044624749018794
1955-10-01,9.178183036625683
1955-11-01,5.175461343742256
1955-12-01,2.491789956712296
1956-01-01,1.9127005955925256
1956-02-01,2.1943765173862175
1956-03-01,4.5916069685101775
1956-04-01,7.697243772574552
1956-05-01,10.450628665126828
1956-06-01,13.039261488538159
1956-07-01,14.186831055009918
1956-08-01,13.171163366762016
1956-09-01,11.418329049578517
1956-10-01,8.194977693907617
1956-11-01,5.060697777296355
1956-12-01,2.690668320251632
1957-01-01,1.6654227818020786
1957-02-01,2.3410901009255554
1957-03-01,4.439961457695063
1957-04-01,7.784249624544486
1957-05-01,10.715128991366669
1957-06-01,13.319533084935358
1957-07-01,13.909298587393153
1957-08-01,13.98134263075525
1957-09-01,12.056435859459384
1957-10-01,8.937517498498835
1957-11-01,5.6438111598590694
1957-12-01,3.5687871129337623
1958-01-01,2.854683197479517
1958-02-01,3.1525081830949375
1958-03-01,5.1103227990820415
1958-04-01,8.125791860415461
1958-05-01,11.181392901946822
1958-06-01,12.985923166085172
1958-07-01,14.4223753745581
1958-08-01,13.552917338838313
1958-09-01,11.612151250599311
1958-10-01,8.828334065517822
1958-11-01,5.566796597749999
1958-12-01,3.068953308340042
1959-01-01,2.2443902259022366
1959-02-01,2.780770312403888
1959-03-01,5.440992370199183
1959-04-01,8.420603097207731
1959-05-01,10.78057609669122
1959-06-01,13.362067673819695
1959-07-01,14.546093439026151
1959-08-01,13.808610416288616
1959-09-01,11.838162291507388
1959-10-01,8.85595979915513
1959-11-01,5.068699524043609
1959-12-01,3.0798687602332393
1960-01-01,2.1160789763246726
1960-02-01,3.3297019572555655
1960-03-01,4.101415373295026
1960-04-01,7.763939345770325
1960-05-01,10.467691836087056
1960-06-01,13.25080701819951
1960-07-01,14.098942471732244
1960-08-01,13.741315125498886
1960-09-01,11.766741129578406
1960-10-01,8.924724522931399
1960-11-01,5.120974666633572
1960-12-01,3.485417000588484
1961-01-01,2.2706977849285295
1961-02-01,3.138665173954962
1961-03-01,5.1641662657726215
1961-04-01,8.332379703995343
1961-05-01,11.150417168637489
1961-06-01,13.479503167477844
1961-07-01,14.232808255683892
1961-08-01,13.755245586466344
1961-09-01,11.962348950881164
1961-10-01,8.791961351834573
1961-11-01,5.343592131526407
1961-12-01,2.601709193266629
1962-01-01,2.1495374301031234
1962-02-01,3.124648826558939
1962-03-01,5.155413161526951
1962-04-01,7.962340824327441
1962-05-01,10.780145049640453
1962-06-01,12.929835932353797
1962-07-01,14.073948545699238
1962-08-01,13.759195332049785
1962-09-01,11.77800124290502
1962-10-01,8.92761362524152
1962-11-01,5.421684903738594
1962-12-01,3.07140313469921
1963-01-01,2.131483894649932
1963-02-01,3.483635543426999
1963-03-01,4.685855826027364
1963-04-01,7.746705302975499
1963-05-01,10.53450703185672
1963-06-01,13.148717299396026
1963-07-01,14.411196166568857
1963-08-01,14.202758227152003
1963-09-01,12.249318522733631
1963-10-01,9.354774515418285
1963-11-01,5.6224385115550035
1963-12-01,2.938725144789373
1964-01-01,2.090060129425922
1964-02-01,2.5931782681813615
1964-03-01,4.560492478614094
1964-04-01,7.6025146254351625
1964-05-01,10.62973082749636
1964-06-01,13.152669867990653
1964-07-01,14.450622281658127
1964-08-01,13.559598538487478
1964-09-01,11.238950682504935
1964-10-01,8.185417270098185
1964-11-01,5.231601848246385
1964-12-01,2.6188727191989187
1965-01-01,2.2093797030469773
1965-02-01,2.51085939445818
1965-03-01,5.037916351866045
